iter	RMSE
0	1.004357805
1	0.8838385993
2	0.8102524928
3	0.7626064869
4	0.7303026384
5	0.7030713665
6	0.6878218734
7	0.6714794384
8	0.6612174937
9	0.6521613279
10	0.6453223618
11	0.637219153
12	0.6314769948
13	0.6268927567
14	0.6220844253
15	0.6160415983
16	0.612378065
17	0.609044199
18	0.6038123133
19	0.6009601235
20	0.5973188518
21	0.5943765176
22	0.5919450139
23	0.5886497621
24	0.585571959
25	0.5827064329
26	0.5808383555
27	0.5790584745
28	0.5773733328
29	0.5756668785
30	0.5741651615
31	0.5711287876
32	0.5691271631
33	0.5677384915
34	0.5658003574
35	0.5640163271
36	0.5629446018
37	0.5604370802
38	0.5596216234
39	0.5582393418
40	0.556775619
41	0.5555618398
42	0.5541589439
43	0.5528228635
44	0.5513968816
45	0.5502298702
46	0.5493368664
47	0.5480302652
48	0.5465895653
49	0.5456974229
50	0.5445706444
51	0.5436051112
52	0.542641452
53	0.5416184153
54	0.5407859867
55	0.5391695448
56	0.5381409699
57	0.5367316422
58	0.5356182243
59	0.5345462942
60	0.5338749414
61	0.5330301756
62	0.5318151311
63	0.531004398
64	0.5303519538
65	0.5298016451
66	0.5289243999
67	0.5282538835
68	0.5277579315
69	0.5270772641
70	0.5264199141
71	0.5254387607
72	0.5247934223
73	0.5240107819
74	0.5235231627
75	0.5228711758
76	0.5222157133
77	0.5216730017
78	0.5212286414
79	0.5205773965
80	0.5201224989
81	0.5194566426
82	0.5189953063
83	0.5185424055
84	0.5179634873
85	0.517527098
86	0.5170093775
87	0.5163004485
88	0.5158259883
89	0.5153781063
90	0.5147360735
91	0.5142653709
92	0.513737685
93	0.5133302694
94	0.5128144366
95	0.5123554761
96	0.5119331879
97	0.5113988522
98	0.5109288638
99	0.5103208237
100	0.5099221508
101	0.5095317975
102	0.5091332432
103	0.5088164578
104	0.5084294785
105	0.508029211
106	0.5075458274
107	0.507201748
108	0.5068559956
109	0.5064362314
110	0.5060030613
111	0.5056366325
112	0.5049854656
113	0.5046695311
114	0.5042676899
115	0.5039170888
116	0.5035293364
117	0.5029668046
118	0.5025308002
119	0.5022123606
120	0.5019271638
121	0.5014787528
122	0.5011168518
123	0.5007545477
124	0.5004892422
125	0.5002062628
126	0.4999140449
127	0.4995323189
128	0.4992253963
129	0.4989572845
130	0.4985109877
131	0.4981908616
132	0.4979695288
133	0.4977068179
134	0.4974219159
135	0.4972008652
136	0.4968797252
137	0.4966644295
138	0.4964131731
139	0.496184339
140	0.4960021829
141	0.4958354866
142	0.495595046
143	0.4953115286
144	0.4950235606
145	0.494816444
146	0.4944959133
147	0.4941755314
148	0.4938905365
149	0.4936973904
150	0.4934490056
151	0.4932029747
152	0.4928362656
153	0.4925463575
154	0.4922859864
155	0.4919631468
156	0.4917235064
157	0.491497114
158	0.491283502
159	0.4910224869
160	0.490787552
161	0.4905409079
162	0.4902827331
163	0.4900686214
164	0.4898232338
165	0.4896384899
166	0.4894329992
167	0.489213974
168	0.4889307875
169	0.4887037829
170	0.4884589756
171	0.4882377416
172	0.4880973049
173	0.4878189574
174	0.4876413254
175	0.4874037587
176	0.4872086951
177	0.4868963125
178	0.4865965357
179	0.4863802506
180	0.4862172532
181	0.4860000906
182	0.4858318554
183	0.4856575846
184	0.4855117273
185	0.485284204
186	0.4851246903
187	0.4849414758
188	0.4847948888
189	0.4846422799
190	0.4844271149
191	0.4842710187
192	0.4841227721
193	0.4839735923
194	0.4838125606
195	0.4835520832
196	0.4833484498
197	0.483153664
198	0.4829457622
199	0.4827835753
200	0.4825374379
201	0.4823621075
202	0.4821958341
203	0.4820295465
204	0.4818864542
205	0.4817337962
206	0.4815657304
207	0.4813619707
208	0.4812173646
209	0.4809403968
210	0.4807783269
211	0.4806134221
212	0.4804565225
213	0.4803015996
214	0.4801932661
215	0.4800173643
216	0.479892235
217	0.4797622401
218	0.479628587
219	0.4794753882
220	0.4793223617
221	0.479181055
222	0.4789947665
223	0.4788012113
224	0.4785852451
225	0.47848889
226	0.4783389147
227	0.4781662334
228	0.478019595
229	0.4778890146
230	0.4776995579
231	0.4775574868
232	0.4774280669
233	0.477307897
234	0.4771740476
235	0.4770127401
236	0.4769112625
237	0.4767349716
238	0.4765478601
239	0.4763924257
240	0.4762163634
241	0.4760894306
242	0.4759805347
243	0.4758724522
244	0.4757628388
245	0.4756428085
246	0.4755324323
247	0.4754241729
248	0.4752923713
249	0.4751124431
250	0.4749988765
251	0.4749055807
252	0.4747460725
253	0.4745586864
254	0.4743992724
255	0.47422622
256	0.4741349445
257	0.4740354969
258	0.4739497287
259	0.4738217495
260	0.4737217708
261	0.4734900412
262	0.4733465414
263	0.4732345605
264	0.4731331822
265	0.4730362554
266	0.4728629688
267	0.4727285471
268	0.4725815373
269	0.4724801296
270	0.4723377905
271	0.4722402551
272	0.4721419037
273	0.4719779085
274	0.471867028
275	0.4717629248
276	0.4716255778
277	0.4714973407
278	0.4713955299
279	0.4712785728
280	0.4712058444
281	0.4711007171
282	0.4710139044
283	0.4709092117
284	0.4707989073
285	0.4707011687
286	0.4705977385
287	0.4704738369
288	0.470384998
289	0.4702632677
290	0.4701746027
291	0.4700740478
292	0.469979982
293	0.4698295146
294	0.4697472252
295	0.4696578958
296	0.4695676512
297	0.4694077182
298	0.4693043845
299	0.4691407795
300	0.4690618193
301	0.4689790396
302	0.4689073981
303	0.4688097403
304	0.4686473721
305	0.4685003486
306	0.4684215719
307	0.4683374046
308	0.468204572
309	0.4680568317
310	0.4679454668
311	0.4678541433
312	0.4677839761
313	0.46771783
314	0.4676384018
315	0.4675086389
316	0.4674281031
317	0.4673502065
318	0.4672877977
319	0.467193188
320	0.4670783791
321	0.4670098561
322	0.4669145288
323	0.4668390006
324	0.466757555
325	0.4666593002
326	0.4665595939
327	0.4664735944
328	0.4663620315
329	0.4662415415
330	0.466160878
331	0.4660670331
332	0.4659993021
333	0.4659265043
334	0.4658154849
335	0.4657280883
336	0.4656564564
337	0.4655769702
338	0.4655053909
339	0.4654066221
340	0.4653410376
341	0.4652492665
342	0.465168138
343	0.4650929612
344	0.4650257447
345	0.4649083637
346	0.4648474651
347	0.4647838355
348	0.4646675336
349	0.4645842368
350	0.464510485
351	0.4644100386
352	0.4642637164
353	0.4641761807
354	0.4640883962
355	0.4639054
356	0.4638131712
357	0.4637231564
358	0.4636550219
359	0.4635890117
360	0.4634769878
361	0.4634085737
362	0.4633025636
363	0.4632165727
364	0.463121966
365	0.4629858028
366	0.4628902396
367	0.4627423987
368	0.4626694987
369	0.4626082823
370	0.4625331832
371	0.4624645509
372	0.4623816901
373	0.4623262648
374	0.4622655155
375	0.4622074811
376	0.4621375442
377	0.4620784283
378	0.462015534
379	0.4619396217
380	0.4618645855
381	0.461770699
382	0.4617028168
383	0.4616352534
384	0.4615806855
385	0.461488708
386	0.4614081203
387	0.461339622
388	0.4612749551
389	0.4611916702
390	0.4611138265
391	0.461000066
392	0.4609182018
393	0.4608165365
394	0.4607186149
395	0.4606506979
396	0.4605322797
397	0.4604402166
398	0.4603215932
399	0.4602001031
400	0.4601484326
401	0.460096773
402	0.4600324967
403	0.4599432554
404	0.4598395731
405	0.4597781434
406	0.4597136166
407	0.4595860577
408	0.459533725
409	0.459483629
410	0.4594119226
411	0.4593433786
412	0.45926575
413	0.4592008043
414	0.4591429902
415	0.4590288521
416	0.4589651674
417	0.4589129141
418	0.4588316395
419	0.4587607422
420	0.4587120373
421	0.4586284928
422	0.4585365062
423	0.458483639
424	0.4584363127
425	0.4583500543
426	0.4582824997
427	0.4581996801
428	0.4581517253
429	0.4580984547
430	0.4580504566
431	0.4579745575
432	0.457907329
433	0.457854492
434	0.4577852002
435	0.4577101845
436	0.4576526285
437	0.4575617426
438	0.4575126992
439	0.4574370879
440	0.4573912973
441	0.4573096811
442	0.4572393897
443	0.4571905481
444	0.4571281015
445	0.4570318338
446	0.456973646
447	0.4569294507
448	0.4568565565
449	0.4568036068
450	0.456740738
451	0.45669525
452	0.4566220748
453	0.4565752509
454	0.4565160135
455	0.4564598736
456	0.4564029693
457	0.4563316173
458	0.45622332
459	0.4561612288
460	0.45609569
461	0.4560272381
462	0.4559424061
463	0.4558770279
464	0.455816286
465	0.4557737152
466	0.4556888046
467	0.4556434376
468	0.4555661009
469	0.4555061083
470	0.4554484227
471	0.4553773454
472	0.4553078849
473	0.4552050786
474	0.4551484611
475	0.4550852604
476	0.4550268675
477	0.4549252018
478	0.4548518138
479	0.4547973733
480	0.4547239196
481	0.4546787356
482	0.4546103194
483	0.4545499163
484	0.4544965713
485	0.454457846
486	0.4544026124
487	0.4543311737
488	0.4542673165
489	0.4542023041
