iter	Passed	Remaining
0	208	207945
1	269	134503
2	324	107945
3	369	92066
4	409	81429
5	452	74926
6	491	69716
7	536	66481
8	577	63633
9	616	61033
10	653	58743
11	694	57210
12	732	55602
13	775	54638
14	819	53816
15	861	53005
16	898	51925
17	938	51198
18	985	50890
19	1023	50132
20	1063	49598
21	1102	49021
22	1144	48633
23	1185	48226
24	1229	47951
25	1266	47458
26	1305	47051
27	1341	46577
28	1377	46138
29	1417	45823
30	1451	45379
31	1492	45142
32	1531	44884
33	1573	44708
34	1613	44490
35	1652	44237
36	1690	44005
37	1732	43865
38	1767	43542
39	1804	43298
40	1841	43066
41	1877	42813
42	1918	42708
43	1958	42557
44	1998	42422
45	2036	42230
46	2071	42012
47	2112	41899
48	2153	41797
49	2193	41672
50	2234	41582
51	2274	41468
52	2314	41357
53	2356	41275
54	2393	41131
55	2439	41128
56	2480	41029
57	2522	40966
58	2566	40934
59	2606	40838
60	2645	40724
61	2682	40585
62	2725	40538
63	2768	40486
64	2809	40415
65	2853	40380
66	2893	40286
67	2933	40203
68	2972	40111
69	3010	40000
70	3048	39883
71	3090	39839
72	3134	39800
73	3172	39703
74	3212	39623
75	3250	39516
76	3288	39423
77	3327	39327
78	3365	39238
79	3403	39137
80	3437	39001
81	3477	38935
82	3517	38861
83	3556	38778
84	3596	38720
85	3636	38646
86	3685	38678
87	3729	38651
88	3771	38600
89	3815	38582
90	3858	38539
91	3900	38491
92	3941	38441
93	3984	38405
94	4023	38324
95	4060	38232
96	4097	38145
97	4144	38143
98	4187	38112
99	4232	38096
100	4277	38076
101	4323	38068
102	4368	38047
103	4410	37994
104	4447	37910
105	4489	37866
106	4532	37829
107	4568	37729
108	4605	37646
109	4643	37570
110	4681	37491
111	4718	37408
112	4756	37335
113	4792	37249
114	4831	37177
115	4868	37098
116	4908	37047
117	4951	37012
118	4995	36986
119	5036	36933
120	5088	36965
121	5148	37052
122	5189	36998
123	5235	36988
124	5278	36952
125	5329	36965
126	5374	36942
127	5417	36908
128	5454	36828
129	5496	36786
130	5539	36748
131	5583	36715
132	5620	36641
133	5660	36581
134	5699	36518
135	5737	36447
136	5773	36366
137	5809	36291
138	5851	36248
139	5893	36203
140	5934	36155
141	5973	36096
142	6017	36065
143	6059	36017
144	6099	35965
145	6142	35927
146	6183	35880
147	6225	35840
148	6268	35804
149	6308	35749
150	6346	35682
151	6385	35626
152	6426	35575
153	6465	35520
154	6505	35466
155	6547	35421
156	6587	35371
157	6625	35310
158	6666	35259
159	6709	35224
160	6748	35169
161	6785	35102
162	6827	35057
163	6866	35001
164	6905	34946
165	6945	34893
166	6986	34846
167	7023	34783
168	7065	34740
169	7111	34720
170	7156	34694
171	7193	34630
172	7234	34582
173	7273	34526
174	7312	34475
175	7352	34422
176	7390	34365
177	7431	34319
178	7472	34271
179	7519	34257
180	7565	34233
181	7609	34199
182	7648	34148
183	7685	34085
184	7723	34025
185	7765	33983
186	7802	33920
187	7844	33879
188	7880	33816
189	7918	33758
190	7959	33714
191	8000	33667
192	8038	33611
193	8077	33559
194	8116	33506
195	8156	33459
196	8196	33408
197	8246	33401
198	8299	33406
199	8350	33402
200	8396	33376
201	8432	33313
202	8475	33276
203	8517	33236
204	8558	33189
205	8600	33149
206	8645	33118
207	8687	33079
208	8726	33027
209	8768	32987
210	8809	32943
211	8850	32897
212	8891	32851
213	8928	32793
214	8967	32741
215	9009	32700
216	9048	32648
217	9086	32593
218	9128	32552
219	9167	32503
220	9207	32455
221	9247	32408
222	9290	32369
223	9335	32340
224	9376	32297
225	9418	32256
226	9459	32212
227	9500	32169
228	9543	32131
229	9581	32078
230	9623	32036
231	9662	31986
232	9703	31943
233	9741	31889
234	9781	31843
235	9822	31796
236	9862	31753
237	9910	31731
238	9953	31694
239	9996	31656
240	10045	31638
241	10085	31589
242	10126	31547
243	10166	31499
244	10210	31463
245	10250	31418
246	10292	31377
247	10347	31377
248	10391	31340
249	10436	31310
250	10475	31258
251	10515	31211
252	10556	31169
253	10604	31146
